ID,Topology Order,flag,name
Pceli_R08R500_IT,1,7,OUT_celina
Picar_R08M425_RO,2,8,OUT_icarus
Picar_R17D470_GR,3,8,OUT_icarus
Peroi_R09V958_BG,4,3,eroides
Peroi_R09V961_BG,5,3,eroides
Peros_R07D671_BG,6,3,eroides
Peroi_R10B402_BG,7,3,eroides
Peros_R10B401_BG,8,3,eroides
Peroi_R14F617_GR,9,3,eroides
Peros_R14F605_GR,10,3,eroides
Peroi_R14F612_GR,11,3,eroides
Peros_R14C790_BG,12,3,eroides
Peros_R14C958_BG,13,3,eroides
Peroi_R14F306_RS,14,3,eroides
Peroi_R14F313_RS,15,3,eroides
Peros_R14F299_RS,16,3,eroides
Peros_R16D592_RS,17,3,eroides
Peros_R16D593_RS,18,3,eroides
Peros_R14G453_GR,19,3,eroides
Peros_R17G381_AL,20,3,eroides
Peros_R14N424_UA,21,4,eroides_UA
Peros_R14V059_UA,22,4,eroides_UA
Peroi_R17F519_AL,23,6,albania_eroides
Peros_R17F517_AL,24,6,albania_eroides
Peros_R17T045_ME,25,6,albania_eroides
Peros_R17T046_ME,26,6,albania_eroides
Peros_R17F518_AL,27,6,albania_eroides
Peros_R07W163_ES,28,1,eros
Peros_R07W164_ES,29,1,eros
Peros_R11H009_ES,30,1,eros
Peros_R19D459_ES,31,1,eros
Peros_R09V828_ES,32,1,eros
Peros_R17E114_ES,33,1,eros
Peros_R17E160_ES,34,1,eros
Peros_R18D133_FR,35,1,eros
Peros_R19D908_ES,36,1,eros
Peros_R19D925_ES,37,1,eros
Peros_R18D135_ES,38,1,eros
Peros_R15H523_CH,39,1,eros
Peros_R10B863_FR,40,1,eros
Peros_R15J298_FR,41,1,eros
Peros_R15H078_IT,42,1,eros
Peros_R10C085_FR,43,1,eros
Peros_R15G864_CH,44,1,eros
Peros_R15I269_AT,45,1,eros
Peros_R15I764_AT,46,1,eros
Peros_R14A083_IT,47,2,eros_IT
Peros_R14A243_IT,48,2,eros_IT
Peros_R15M837_IT,49,2,eros_IT
Peroi_R14G072_GR,50,5,menelaos
Peros_R14F975_GR,51,5,menelaos
Peros_R14G085_GR,52,5,menelaos
Peros_R14F984_GR,53,5,menelaos
Peros_R14G103_GR,54,5,menelaos
Peros_R14G066_GR,55,5,menelaos
